References,ID,Phylum,Class,Order,Family,Genus,Species,Habitat,Temp,Volume,Growth,Lat,Lon
Boyd et al. (2013),7,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain YRB,Marine,30,132000,0.35,33.84,-118.39
Boyd et al. (2013),7,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain YRB,Marine,33,132000,0.08,33.84,-118.39
Boyd et al. (2013),7,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain YRB,Marine,35,132000,0,33.84,-118.39
Laabir et al. (2011),8,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium catenella,Marine,15,9740,0.48,43.41666667,3.65
Laabir et al. (2011),8,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium catenella,Marine,18,9740,0.47,43.41666667,3.65
Laabir et al. (2011),8,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium catenella,Marine,21,9740,0.45,43.41666667,3.65
Laabir et al. (2011),8,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium catenella,Marine,24,9740,0.62,43.41666667,3.65
Laabir et al. (2011),8,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium catenella,Marine,27,9740,0.85,43.41666667,3.65
Laabir et al. (2011),8,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium catenella,Marine,30,9740,0.32,43.41666667,3.65
Navarro et al. (2006),9,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium catenella ,Marine,10,9740,0.12,-46.66,-75.92
Navarro et al. (2006),9,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium catenella ,Marine,12,9740,0.08,-46.66,-75.92
Navarro et al. (2006),9,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium catenella ,Marine,14,9740,0.21,-46.66,-75.92
Navarro et al. (2006),9,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium catenella ,Marine,16,9740,0.07,-46.66,-75.92
Etheridge and Roesler (2005),10,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain BoF,Marine,5,11800,0.083,44.7,-66.51
Etheridge and Roesler (2005),10,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain BoF,Marine,10,11800,0.124,44.7,-66.51
Etheridge and Roesler (2005),10,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain BoF,Marine,15,11800,0.28,44.7,-66.51
Etheridge and Roesler (2005),10,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain BoF,Marine,20,11800,0.15,44.7,-66.51
Etheridge and Roesler (2005),10,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain BoF,Marine,25,11800,0,44.7,-66.51
Etheridge and Roesler (2005),11,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain MI,Marine,5,11800,0.1,43.56,-69.45
Etheridge and Roesler (2005),11,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain MI,Marine,10,11800,0.15,43.56,-69.45
Etheridge and Roesler (2005),11,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain MI,Marine,15,11800,0.46,43.56,-69.45
Etheridge and Roesler (2005),11,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain MI,Marine,20,11800,0.28,43.56,-69.45
Etheridge and Roesler (2005),11,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain MI,Marine,25,11800,0,43.56,-69.45
Cannon (1993),12,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium minutum,Marine,12,9610,0.1,-34.8,138.51
Cannon (1993),12,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium minutum,Marine,16,9610,0.27,-34.8,138.51
Cannon (1993),12,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium minutum,Marine,20,9610,0.3,-34.8,138.51
Cannon (1993),12,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium minutum,Marine,25,9610,0.29,-34.8,138.51
Juhl (2005),13,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium monilatum,Marine,15,60200,-0.01,30.23,-88.8
Juhl (2005),13,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium monilatum,Marine,20,60200,0.34,30.23,-88.8
Juhl (2005),13,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium monilatum,Marine,25,60200,0.64,30.23,-88.8
Juhl (2005),13,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium monilatum,Marine,31,60200,0.65,30.23,-88.8
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,9.4,28200,0,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,11.3,28200,0.06,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,11.4,28200,0.06,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,16.3,18500,0.15,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,16.4,18500,0.16,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,20.3,14400,0.22,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,20.6,14400,0.21,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,23.5,14400,0.16,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,23.7,14400,0.15,56.57,9.07
Jensen and Moestrup (1997),14,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium ostenfeldii clone LF-37,Marine,26.3,14400,0,56.57,9.07
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,16,11100,0,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,19,11100,0.06,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,21,11100,0.14,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,23,11100,0.21,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,25,11100,0.25,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,27,11100,0.37,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,29,11100,0.34,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,31,11100,0.24,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,33,11100,0.19,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,35,11100,0.07,24.70833333,-81.125
Morton et al. (1992),15,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium klebsii,Marine,37,11100,0,24.70833333,-81.125
Kitaya et al. (2008),16,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium sp.,Marine,21,1840,0.28,26.33333333,127.745
Kitaya et al. (2008),16,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium sp.,Marine,24,1840,0.44,26.33333333,127.745
Kitaya et al. (2008),16,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium sp.,Marine,26,1840,0.52,26.33333333,127.745
Kitaya et al. (2008),16,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium sp.,Marine,29,1840,0.5,26.33333333,127.745
Kitaya et al. (2008),16,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium sp.,Marine,32,1840,0.38,26.33333333,127.745
Kitaya et al. (2008),16,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium sp.,Marine,35,1840,0.28,26.33333333,127.745
Admiraal (1977),17,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora paludosa,Marine,4,1930,0.28,53.6,8.3
Admiraal (1977),17,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora paludosa,Marine,8,1930,0.45,53.6,8.3
Admiraal (1977),17,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora paludosa,Marine,12,1930,0.61,53.6,8.3
Admiraal (1977),17,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora paludosa,Marine,16,1930,1,53.6,8.3
Admiraal (1977),17,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora paludosa,Marine,20,1930,1.21,53.6,8.3
Admiraal (1977),17,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora paludosa,Marine,25,1930,1.86,53.6,8.3
Admiraal (1977),17,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora paludosa,Marine,30,1930,1.58,53.6,8.3
Hulburt (1982),18,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,11,1930,0,28.9,50.75
Hulburt (1982),18,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,14,1930,0.14,28.9,50.75
Hulburt (1982),18,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,17,1930,0.35,28.9,50.75
Hulburt (1982),18,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,21,1930,0.42,28.9,50.75
Hulburt (1982),18,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,28,1930,0.9,28.9,50.75
Hulburt (1982),18,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,31,1930,0.69,28.9,50.75
Hulburt (1982),18,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora sp.,Marine,34,1930,0,28.9,50.75
Foy et al. (1976),19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena flosaquae,Freshwater,5,837,0.04,54.58333333,-6.416666667
Foy et al. (1976),19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena flosaquae,Freshwater,10,837,0.28,54.58333333,-6.416666667
Foy et al. (1976),19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena flosaquae,Freshwater,15,837,0.57,54.58333333,-6.416666667
Foy et al. (1976),19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena flosaquae,Freshwater,20,837,0.8,54.58333333,-6.416666667
Foy et al. (1976),19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena flosaquae,Freshwater,25,837,0.08,54.58333333,-6.416666667
Foy et al. (1976),20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae,Freshwater,5,837,0.09,,
Foy et al. (1976),20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae,Freshwater,10,837,0.33,,
Foy et al. (1976),20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae,Freshwater,15,837,0.64,,
Foy et al. (1976),20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae,Freshwater,20,837,0.88,,
Foy et al. (1976),20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae,Freshwater,25,837,1.15,,
Foy et al. (1976),20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,Aphanizomenon flosaquae,Freshwater,30,837,0.65,,
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,2,2530,0.28,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,5,2530,0.42,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,8,2530,0.53,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,11,2530,0.73,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,14,2530,1,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,17,2530,1.05,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,17,2530,1.11,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,20,2530,1.07,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,25,2530,0.93,54.436,-2.968
Butterwick et al. (2005),21,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,30,2530,0,54.436,-2.968
Suzuki and Takahashi (1995),22,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,2,156,0,36,140
Suzuki and Takahashi (1995),22,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,5,156,0.62,36,140
Suzuki and Takahashi (1995),22,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,10,156,0.64,36,140
Suzuki and Takahashi (1995),22,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,15,156,0.88,36,140
Suzuki and Takahashi (1995),22,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,20,156,1.27,36,140
Suzuki and Takahashi (1995),22,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,25,156,1.09,36,140
Suzuki and Takahashi (1995),22,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,Asterionella formosa,Freshwater,30,156,0,36,140
Hulburt (1982),23,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Marine,1,4440,0.37,41.9,-70.32
Hulburt (1982),23,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Marine,4.5,4440,0.55,41.9,-70.32
Hulburt (1982),23,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Marine,7,4440,0.89,41.9,-70.32
